"code","dep_time","dep_place","arr_time","arr_place","aircraft","time"
"AI 317","18:05","HKG","01:15","BOM","Boeing 787-8","['No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes']"
"AI 331","20:30","BKK","23:15","BOM","Boeing 787-8","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"AI 349","22:00","PVG","05:55","BOM","Boeing 787-8","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AI 636","15:20","DEL","18:10","BOM","Airbus A319","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AI 7241","12:15","BKK","15:40","SIN","Boeing 777-200/200ER","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AI 991","16:20","DEL","19:45","JED","Boeing 777-300ER","['Yes', 'No', 'Yes', 'No', 'No', 'No', 'No']"
"AK 1511","09:55","TPE","13:25","BKI","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AK 171","13:45","KHH","18:05","KUL","Airbus A320","['Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'No']"
"AK 209","09:50","TPE","13:25","BKI","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"AM 1631","00:30","LAX","06:20","MEX","Boeing 737-800","['No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No']"
"AM 1665","01:00","SFO","07:18","MEX","7S8","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AM 1797","23:27","YVR","06:05","MEX","7S8","['Yes', 'No', 'No', 'No', 'No', 'No', 'No']"
"AM 401","00:45","JFK","04:36","MEX","7S8","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AM 57","14:25","NRT","12:50","MEX","Boeing 787","['Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"AM 5735","23:59","LAX","06:21","CUN","Boeing 737-800 Winglets","['No', 'No', 'No', 'No', 'Yes', 'Yes', 'No']"
"AM 643","17:45","LAX","23:15","MEX","7S8","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"AM 649","23:00","LAX","04:38","MEX","Boeing 737-800","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"AM 665","23:01","SFO","05:25","MEX","Boeing 737-800","['No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No']"
"AM 697","23:27","YVR","06:05","MEX","7S8","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AM 8342","10:50","LAX","13:08","SJD","Boeing 737-400","['No', 'No', 'Yes', 'No', 'No', 'No', 'No']"
"AM 8345","11:45","LAX","15:14","SJD","Boeing 737-900 Winglets","['Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']"
"AM 8348","10:50","LAX","13:08","SJD","Boeing 737-900","['No', 'No', 'No', 'No', 'Yes', 'No', 'Yes']"
"AM 8351","10:20","LAX","13:43","SJD","Boeing 737-900 Winglets","['No', 'No', 'Yes', 'No', 'No', 'No', 'Yes']"
"AM 8355","10:50","LAX","13:08","SJD","Boeing 737-900 Winglets","['No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No']"
"AM 8356","10:50","LAX","15:40","PVR","Boeing 737-900","['No', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes']"
